ts,symbol,side,clip_usd,slippage_bps,book_usd_bid,book_usd_ask
2026-08-06T21:00:00.000Z,ADAUSDT,buy,10000,2.452,14357604,11353637
2026-08-06T21:00:00.000Z,ADAUSDT,buy,100000,4.693,14357604,11353637
2026-08-06T21:00:00.000Z,ADAUSDT,buy,1000000,42.414,14357604,11353637
2026-08-06T21:00:00.000Z,ADAUSDT,buy,5000000,135.158,14357604,11353637
2026-08-06T21:00:00.000Z,ADAUSDT,sell,10000,3.253,14357604,11353637
2026-08-06T21:00:00.000Z,ADAUSDT,sell,100000,8.962,14357604,11353637
2026-08-06T21:00:00.000Z,ADAUSDT,sell,1000000,39.698,14357604,11353637
2026-08-06T21:00:00.000Z,ADAUSDT,sell,5000000,112.294,14357604,11353637
2026-08-06T21:00:00.000Z,BNBUSDT,buy,10000,0.236,11600822,10047200
2026-08-06T21:00:00.000Z,BNBUSDT,buy,100000,1.508,11600822,10047200
2026-08-06T21:00:00.000Z,BNBUSDT,buy,1000000,8.778,11600822,10047200
2026-08-06T21:00:00.000Z,BNBUSDT,buy,5000000,39.133,11600822,10047200
2026-08-06T21:00:00.000Z,BNBUSDT,sell,10000,0.084,11600822,10047200
2026-08-06T21:00:00.000Z,BNBUSDT,sell,100000,0.436,11600822,10047200
2026-08-06T21:00:00.000Z,BNBUSDT,sell,1000000,8.082,11600822,10047200
2026-08-06T21:00:00.000Z,BNBUSDT,sell,5000000,34.076,11600822,10047200
2026-08-06T21:00:00.000Z,BTCUSDT,buy,10000,0.008,46548102,44365557
2026-08-06T21:00:00.000Z,BTCUSDT,buy,100000,0.008,46548102,44365557
2026-08-06T21:00:00.000Z,BTCUSDT,buy,1000000,0.57,46548102,44365557
2026-08-06T21:00:00.000Z,BTCUSDT,buy,5000000,2.315,46548102,44365557
2026-08-06T21:00:00.000Z,BTCUSDT,sell,10000,0.008,46548102,44365557
2026-08-06T21:00:00.000Z,BTCUSDT,sell,100000,0.008,46548102,44365557
2026-08-06T21:00:00.000Z,BTCUSDT,sell,1000000,0.054,46548102,44365557
2026-08-06T21:00:00.000Z,BTCUSDT,sell,5000000,1.435,46548102,44365557
2026-08-06T21:00:00.000Z,DOGEUSDT,buy,10000,0.724,30591875,30407135
2026-08-06T21:00:00.000Z,DOGEUSDT,buy,100000,2.739,30591875,30407135
2026-08-06T21:00:00.000Z,DOGEUSDT,buy,1000000,12.666,30591875,30407135
2026-08-06T21:00:00.000Z,DOGEUSDT,buy,5000000,57.8,30591875,30407135
2026-08-06T21:00:00.000Z,DOGEUSDT,sell,10000,1.263,30591875,30407135
2026-08-06T21:00:00.000Z,DOGEUSDT,sell,100000,3.757,30591875,30407135
2026-08-06T21:00:00.000Z,DOGEUSDT,sell,1000000,17.871,30591875,30407135
2026-08-06T21:00:00.000Z,DOGEUSDT,sell,5000000,62.88,30591875,30407135
2026-08-06T21:00:00.000Z,ETHUSDT,buy,10000,0.026,55755605,51703143
2026-08-06T21:00:00.000Z,ETHUSDT,buy,100000,0.553,55755605,51703143
2026-08-06T21:00:00.000Z,ETHUSDT,buy,1000000,1.875,55755605,51703143
2026-08-06T21:00:00.000Z,ETHUSDT,buy,5000000,4.985,55755605,51703143
2026-08-06T21:00:00.000Z,ETHUSDT,sell,10000,0.026,55755605,51703143
2026-08-06T21:00:00.000Z,ETHUSDT,sell,100000,0.026,55755605,51703143
2026-08-06T21:00:00.000Z,ETHUSDT,sell,1000000,0.296,55755605,51703143
2026-08-06T21:00:00.000Z,ETHUSDT,sell,5000000,4.358,55755605,51703143
2026-08-06T21:00:00.000Z,LINKUSDT,buy,10000,1.607,8087948,6308045
2026-08-06T21:00:00.000Z,LINKUSDT,buy,100000,5.049,8087948,6308045
2026-08-06T21:00:00.000Z,LINKUSDT,buy,1000000,31.082,8087948,6308045
2026-08-06T21:00:00.000Z,LINKUSDT,buy,5000000,133.807,8087948,6308045
2026-08-06T21:00:00.000Z,LINKUSDT,sell,10000,1.586,8087948,6308045
2026-08-06T21:00:00.000Z,LINKUSDT,sell,100000,6.568,8087948,6308045
2026-08-06T21:00:00.000Z,LINKUSDT,sell,1000000,28.373,8087948,6308045
2026-08-06T21:00:00.000Z,LINKUSDT,sell,5000000,117.657,8087948,6308045
2026-08-06T21:00:00.000Z,SOLUSDT,buy,10000,0.686,74398952,65347412
2026-08-06T21:00:00.000Z,SOLUSDT,buy,100000,0.686,74398952,65347412
2026-08-06T21:00:00.000Z,SOLUSDT,buy,1000000,4.153,74398952,65347412
2026-08-06T21:00:00.000Z,SOLUSDT,buy,5000000,17.159,74398952,65347412
2026-08-06T21:00:00.000Z,SOLUSDT,sell,10000,0.686,74398952,65347412
2026-08-06T21:00:00.000Z,SOLUSDT,sell,100000,1.484,74398952,65347412
2026-08-06T21:00:00.000Z,SOLUSDT,sell,1000000,4.637,74398952,65347412
2026-08-06T21:00:00.000Z,SOLUSDT,sell,5000000,15.493,74398952,65347412
2026-08-06T21:00:00.000Z,XRPUSDT,buy,10000,0.483,37097838,27900683
2026-08-06T21:00:00.000Z,XRPUSDT,buy,100000,2.015,37097838,27900683
2026-08-06T21:00:00.000Z,XRPUSDT,buy,1000000,8.82,37097838,27900683
2026-08-06T21:00:00.000Z,XRPUSDT,buy,5000000,36.802,37097838,27900683
2026-08-06T21:00:00.000Z,XRPUSDT,sell,10000,0.483,37097838,27900683
2026-08-06T21:00:00.000Z,XRPUSDT,sell,100000,1.519,37097838,27900683
2026-08-06T21:00:00.000Z,XRPUSDT,sell,1000000,7.489,37097838,27900683
2026-08-06T21:00:00.000Z,XRPUSDT,sell,5000000,27.712,37097838,27900683
2026-08-06T22:00:00.000Z,ADAUSDT,buy,10000,2.48,15882167,12631619
2026-08-06T22:00:00.000Z,ADAUSDT,buy,100000,5.846,15882167,12631619
2026-08-06T22:00:00.000Z,ADAUSDT,buy,1000000,32.373,15882167,12631619
2026-08-06T22:00:00.000Z,ADAUSDT,buy,5000000,118.613,15882167,12631619
2026-08-06T22:00:00.000Z,ADAUSDT,sell,10000,2.48,15882167,12631619
2026-08-06T22:00:00.000Z,ADAUSDT,sell,100000,5.275,15882167,12631619
2026-08-06T22:00:00.000Z,ADAUSDT,sell,1000000,30.544,15882167,12631619
2026-08-06T22:00:00.000Z,ADAUSDT,sell,5000000,99.682,15882167,12631619
2026-08-06T22:00:00.000Z,BNBUSDT,buy,10000,0.084,12353894,10737036
2026-08-06T22:00:00.000Z,BNBUSDT,buy,100000,1.329,12353894,10737036
2026-08-06T22:00:00.000Z,BNBUSDT,buy,1000000,7.836,12353894,10737036
2026-08-06T22:00:00.000Z,BNBUSDT,buy,5000000,32.641,12353894,10737036
2026-08-06T22:00:00.000Z,BNBUSDT,sell,10000,0.084,12353894,10737036
2026-08-06T22:00:00.000Z,BNBUSDT,sell,100000,0.798,12353894,10737036
