date,currency,instrument,expiry,strike,type,open_interest,mark_iv,underlying_usd,source
2026-08-21,BTC,BTC-21AUG26-63500-C,21AUG26,63500,call,178,88.44,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-63500-P,21AUG26,63500,put,143.6,88.44,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-64000-C,21AUG26,64000,call,329.5,88.43,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-64000-P,21AUG26,64000,put,218.7,88.43,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-64500-C,21AUG26,64500,call,117.1,88.06,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-64500-P,21AUG26,64500,put,171.5,88.06,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-65000-C,21AUG26,65000,call,1279,87.74,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-65000-P,21AUG26,65000,put,207.9,87.74,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-65500-C,21AUG26,65500,call,163.1,87.6,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-65500-P,21AUG26,65500,put,84.7,87.6,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-66000-C,21AUG26,66000,call,1278.6,87.58,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-66000-P,21AUG26,66000,put,386.3,87.58,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-66500-C,21AUG26,66500,call,100,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-66500-P,21AUG26,66500,put,98.5,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-67000-C,21AUG26,67000,call,2086.3,87.58,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-67000-P,21AUG26,67000,put,729.8,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-67500-C,21AUG26,67500,call,150,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-67500-P,21AUG26,67500,put,91.2,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-68000-C,21AUG26,68000,call,1805.1,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-68000-P,21AUG26,68000,put,699.4,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-68500-C,21AUG26,68500,call,34.9,87.54,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-68500-P,21AUG26,68500,put,95.6,87.54,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-69000-C,21AUG26,69000,call,897,87.5,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-69000-P,21AUG26,69000,put,204.5,87.5,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-69500-C,21AUG26,69500,call,59.6,87.3,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-69500-P,21AUG26,69500,put,404.1,87.3,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-70000-C,21AUG26,70000,call,1047.6,83.85,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-70000-P,21AUG26,70000,put,502.7,83.85,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-70500-C,21AUG26,70500,call,144.3,79.14,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-70500-P,21AUG26,70500,put,188.7,79.14,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-71000-C,21AUG26,71000,call,17.9,74.33,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-71000-P,21AUG26,71000,put,74.3,74.33,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-71500-C,21AUG26,71500,call,7.5,68.05,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-71500-P,21AUG26,71500,put,260.4,68.05,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-72000-C,21AUG26,72000,call,1542.8,61.72,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-72000-P,21AUG26,72000,put,616.4,61.72,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-72500-C,21AUG26,72500,call,116.8,57.89,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-72500-P,21AUG26,72500,put,44.7,57.89,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-73000-C,21AUG26,73000,call,248.3,54.95,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-73000-P,21AUG26,73000,put,14,54.95,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-73500-C,21AUG26,73500,call,33.9,53.47,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-73500-P,21AUG26,73500,put,0.1,53.47,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-74000-C,21AUG26,74000,call,226.4,52.49,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-74000-P,21AUG26,74000,put,0.1,52.49,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-74500-C,21AUG26,74500,call,17.1,54.48,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-74500-P,21AUG26,74500,put,0,54.48,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-75000-C,21AUG26,75000,call,983.1,57.87,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-75000-P,21AUG26,75000,put,0.2,57.87,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-77000-C,21AUG26,77000,call,10.9,81.32,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-77000-P,21AUG26,77000,put,0,81.32,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-80000-C,21AUG26,80000,call,24.5,104.11,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-80000-P,21AUG26,80000,put,0,104.11,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-57000-C,22AUG26,57000,call,0.1,95.31,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-57000-P,22AUG26,57000,put,6.3,95.31,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-58000-C,22AUG26,58000,call,0,95.23,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-58000-P,22AUG26,58000,put,0.5,95.23,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-59000-C,22AUG26,59000,call,0,95.23,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-59000-P,22AUG26,59000,put,16.2,95.23,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-60000-C,22AUG26,60000,call,0.1,95.23,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-60000-P,22AUG26,60000,put,10.8,95.23,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-61000-C,22AUG26,61000,call,0,94.48,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-61000-P,22AUG26,61000,put,5.1,94.48,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-62000-C,22AUG26,62000,call,0.1,92,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-62000-P,22AUG26,62000,put,60.3,92,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-62500-C,22AUG26,62500,call,0.1,88.79,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-62500-P,22AUG26,62500,put,34.9,88.79,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-63000-C,22AUG26,63000,call,0.1,87.64,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-63000-P,22AUG26,63000,put,65.8,87.64,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-63500-C,22AUG26,63500,call,0.1,87.52,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-63500-P,22AUG26,63500,put,107.2,87.52,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-64000-C,22AUG26,64000,call,30.1,87.51,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-64000-P,22AUG26,64000,put,62.7,87.51,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-64500-C,22AUG26,64500,call,42.5,87.5,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-64500-P,22AUG26,64500,put,71.9,87.5,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-65000-C,22AUG26,65000,call,0.5,87.4,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-65000-P,22AUG26,65000,put,98,87.4,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-65500-C,22AUG26,65500,call,10.4,83.01,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-65500-P,22AUG26,65500,put,102.6,83.01,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-66000-C,22AUG26,66000,call,168.2,79.18,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-66000-P,22AUG26,66000,put,43.7,79.18,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-66500-C,22AUG26,66500,call,5.3,75.27,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-66500-P,22AUG26,66500,put,173.5,75.27,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-67000-C,22AUG26,67000,call,94.2,70.42,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-67000-P,22AUG26,67000,put,32.9,70.42,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-67500-C,22AUG26,67500,call,1.5,67.99,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-67500-P,22AUG26,67500,put,1.4,67.99,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-68000-C,22AUG26,68000,call,58.5,64.9,73789.25,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-68000-P,22AUG26,68000,put,111.4,64.9,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-68500-C,22AUG26,68500,call,19,59.95,73786.07,bykaranteli.com
2026-08-21,BTC,BTC-22AUG26-68500-P,22AUG26,68500,put,18.5,59.95,73786.07,bykaranteli.com
