date,coin,long_notional_usd,short_notional_usd,long_share_pct,longs,shorts,accounts,top_long_notional_usd,top_short_notional_usd,source
2026-09-03,TIA,46203,435594,9.59,3,3,300,32201,345260,bykaranteli-hl-scan
2026-09-03,TRB,45315,0,100,2,0,300,45295,0,bykaranteli-hl-scan
2026-09-03,TRUMP,2080,1498151,0.14,2,7,300,1678,567401,bykaranteli-hl-scan
2026-09-03,TRX,1219237,59998,95.31,2,3,300,1177874,59905,bykaranteli-hl-scan
2026-09-03,TURBO,1,9953,0.01,1,1,300,1,9953,bykaranteli-hl-scan
2026-09-03,UMA,21550,0,100,1,0,300,21550,0,bykaranteli-hl-scan
2026-09-03,UNI,1259870,5723962,18.04,3,10,300,989967,1993664,bykaranteli-hl-scan
2026-09-03,USUAL,19233,1,100,2,1,300,19232,1,bykaranteli-hl-scan
2026-09-03,VIRTUAL,114023,1797607,5.96,1,5,300,114023,769595,bykaranteli-hl-scan
2026-09-03,VVV,3305136,3382486,49.42,3,6,300,3300070,1311024,bykaranteli-hl-scan
2026-09-03,W,35410,449382,7.3,1,3,300,35410,384107,bykaranteli-hl-scan
2026-09-03,WCT,0,115,0,0,1,300,0,115,bykaranteli-hl-scan
2026-09-03,WIF,505782,473511,51.65,1,5,300,505782,275759,bykaranteli-hl-scan
2026-09-03,WLD,318141,3811639,7.7,4,8,300,315001,2048287,bykaranteli-hl-scan
2026-09-03,WLFI,1027764,2359653,30.34,3,4,300,404062,1951860,bykaranteli-hl-scan
2026-09-03,XAI,16273,34947,31.77,1,1,300,16273,34947,bykaranteli-hl-scan
2026-09-03,XLM,1602040,822397,66.08,3,4,300,880150,358776,bykaranteli-hl-scan
2026-09-03,XMR,28693084,6744602,80.97,3,7,300,26143498,5210803,bykaranteli-hl-scan
2026-09-03,XPL,830775,8797046,8.63,1,11,300,830775,3970460,bykaranteli-hl-scan
2026-09-03,XRP,49455826,56672057,46.6,6,19,300,47579688,15907771,bykaranteli-hl-scan
2026-09-03,ZEC,13425160,77278278,14.8,10,13,300,6539200,26783569,bykaranteli-hl-scan
2026-09-03,ZEN,0,138288,0,0,2,300,0,138187,bykaranteli-hl-scan
2026-09-03,ZETA,50200,381652,11.62,1,1,300,50200,381652,bykaranteli-hl-scan
2026-09-03,ZK,3760,9,99.76,1,1,300,3760,9,bykaranteli-hl-scan
2026-09-03,ZORA,1,4162,0.03,1,1,300,1,4162,bykaranteli-hl-scan
2026-09-03,ZRO,1054676,4983361,17.47,3,5,300,761469,2943877,bykaranteli-hl-scan
2026-09-03,kBONK,1494,797797,0.19,1,4,300,1494,665656,bykaranteli-hl-scan
2026-09-03,kFLOKI,5977,37615,13.71,1,2,300,5977,25198,bykaranteli-hl-scan
2026-09-03,kLUNC,8768,0,100,1,0,300,8768,0,bykaranteli-hl-scan
2026-09-03,kNEIRO,0,5143,0,0,1,300,0,5143,bykaranteli-hl-scan
2026-09-03,kPEPE,518369,2664418,16.29,2,5,300,393210,1033165,bykaranteli-hl-scan
2026-09-03,kSHIB,0,550138,0,0,4,300,0,388526,bykaranteli-hl-scan
