date,coin,long_notional_usd,short_notional_usd,long_share_pct,longs,shorts,accounts,top_long_notional_usd,top_short_notional_usd,source
2026-09-02,HBAR,0,484262,0,0,3,300,0,256992,bykaranteli-hl-scan
2026-09-02,HEMI,0,636,0,0,2,300,0,384,bykaranteli-hl-scan
2026-09-02,HYPE,294043247,414868064,41.48,19,30,300,113007553,77577245,bykaranteli-hl-scan
2026-09-02,HYPER,0,237,0,0,1,300,0,237,bykaranteli-hl-scan
2026-09-02,ICP,91713,211122,30.28,1,2,300,91713,211122,bykaranteli-hl-scan
2026-09-02,IMX,0,22272,0,0,2,300,0,21755,bykaranteli-hl-scan
2026-09-02,INIT,0,6104,0,0,1,300,0,6104,bykaranteli-hl-scan
2026-09-02,INJ,0,285075,0,0,4,300,0,255521,bykaranteli-hl-scan
2026-09-02,IO,1003,184084,0.54,1,2,300,1003,182006,bykaranteli-hl-scan
2026-09-02,IOTA,9552,158647,5.68,1,1,300,9552,158647,bykaranteli-hl-scan
2026-09-02,JTO,341299,247797,57.94,1,3,300,341299,135789,bykaranteli-hl-scan
2026-09-02,JUP,3517,1129403,0.31,1,3,300,3517,1126222,bykaranteli-hl-scan
2026-09-02,KAITO,18,5360,0.34,2,3,300,11,4978,bykaranteli-hl-scan
2026-09-02,KAS,0,5015,0,0,1,300,0,5015,bykaranteli-hl-scan
2026-09-02,LAYER,12,3391,0.34,2,2,300,11,3330,bykaranteli-hl-scan
2026-09-02,LDO,1717960,1143260,60.04,3,3,300,1074534,615527,bykaranteli-hl-scan
2026-09-02,LINEA,0,1356,0,0,2,300,0,1035,bykaranteli-hl-scan
2026-09-02,LINK,2251151,13569511,14.23,1,11,300,2251151,4830207,bykaranteli-hl-scan
2026-09-02,LIT,25149847,15627317,61.68,6,11,300,18994996,8293125,bykaranteli-hl-scan
2026-09-02,LTC,129393,2307873,5.31,2,7,300,128727,1140459,bykaranteli-hl-scan
2026-09-02,ME,0,0,100,1,0,300,0,0,bykaranteli-hl-scan
2026-09-02,MEGA,39,275352,0.01,1,2,300,39,274639,bykaranteli-hl-scan
2026-09-02,MELANIA,348991,372314,48.38,3,2,300,202275,371709,bykaranteli-hl-scan
2026-09-02,MEME,0,115718,0,0,1,300,0,115718,bykaranteli-hl-scan
2026-09-02,MERL,233,0,100,1,0,300,233,0,bykaranteli-hl-scan
2026-09-02,MET,0,471,0,0,3,300,0,379,bykaranteli-hl-scan
2026-09-02,MINA,53900,460463,10.48,1,1,300,53900,460463,bykaranteli-hl-scan
2026-09-02,MNT,14715,158022,8.52,1,3,300,14715,157895,bykaranteli-hl-scan
2026-09-02,MON,0,2511327,0,0,7,300,0,1540713,bykaranteli-hl-scan
2026-09-02,MOODENG,935,69852,1.32,3,2,300,656,69794,bykaranteli-hl-scan
2026-09-02,MORPHO,466,1062290,0.04,1,4,300,466,494940,bykaranteli-hl-scan
2026-09-02,MOVE,0,276,0,0,2,300,0,237,bykaranteli-hl-scan
2026-09-02,NEAR,1409790,11034369,11.33,5,14,300,539531,3390547,bykaranteli-hl-scan
2026-09-02,NEO,0,12212,0,0,2,300,0,12190,bykaranteli-hl-scan
2026-09-02,NIL,0,158,0,0,1,300,0,158,bykaranteli-hl-scan
2026-09-02,NXPC,0,603,0,0,1,300,0,603,bykaranteli-hl-scan
2026-09-02,ONDO,1876776,2816342,39.99,3,7,300,907556,1391021,bykaranteli-hl-scan
2026-09-02,OP,18825,730316,2.51,3,3,300,16894,394387,bykaranteli-hl-scan
2026-09-02,ORDI,2016,0,100,1,0,300,2016,0,bykaranteli-hl-scan
2026-09-02,PAXG,1951110,1197721,61.96,4,3,300,1047468,813391,bykaranteli-hl-scan
2026-09-02,PENDLE,1083546,1217662,47.09,2,4,300,1083494,926085,bykaranteli-hl-scan
2026-09-02,PENGU,1077,1626183,0.07,1,5,300,1077,1149926,bykaranteli-hl-scan
2026-09-02,PEOPLE,0,1742,0,0,1,300,0,1742,bykaranteli-hl-scan
2026-09-02,PNUT,21683,270,98.77,2,2,300,20833,267,bykaranteli-hl-scan
2026-09-02,POL,1008643,66561,93.81,2,3,300,960180,49903,bykaranteli-hl-scan
2026-09-02,POLYX,2183,0,100,1,0,300,2183,0,bykaranteli-hl-scan
2026-09-02,PONS,641122,487203,56.82,5,2,300,582940,248832,bykaranteli-hl-scan
2026-09-02,POPCAT,0,379261,0,0,5,300,0,375435,bykaranteli-hl-scan
2026-09-02,PROVE,0,45,0,0,1,300,0,45,bykaranteli-hl-scan
2026-09-02,PUMP,2812468,34875897,7.46,7,13,300,1423608,14499403,bykaranteli-hl-scan
2026-09-02,PURR,2725435,42206,98.48,4,2,300,1085600,38949,bykaranteli-hl-scan
2026-09-02,PYTH,3167,356298,0.88,1,2,300,3167,355969,bykaranteli-hl-scan
2026-09-02,RENDER,0,112332,0,0,3,300,0,99250,bykaranteli-hl-scan
2026-09-02,RESOLV,169,589,22.3,1,2,300,169,589,bykaranteli-hl-scan
2026-09-02,REZ,964,66,93.6,1,1,300,964,66,bykaranteli-hl-scan
2026-09-02,RSR,0,53,0,0,1,300,0,53,bykaranteli-hl-scan
2026-09-02,RUNE,0,103334,0,0,3,300,0,72082,bykaranteli-hl-scan
2026-09-02,S,27025,70840,27.61,1,1,300,27025,70840,bykaranteli-hl-scan
2026-09-02,SAGA,0,1649,0,0,2,300,0,1626,bykaranteli-hl-scan
2026-09-02,SAND,0,3394,0,0,2,300,0,2732,bykaranteli-hl-scan
2026-09-02,SEI,63048,245485,20.43,4,3,300,40516,238393,bykaranteli-hl-scan
2026-09-02,SKR,878,2122,29.26,2,1,300,454,2122,bykaranteli-hl-scan
2026-09-02,SKY,0,145533,0,0,3,300,0,141015,bykaranteli-hl-scan
2026-09-02,SNX,15940,0,100,1,0,300,15940,0,bykaranteli-hl-scan
2026-09-02,SOL,97032718,171387005,36.15,9,22,300,55217802,76808464,bykaranteli-hl-scan
2026-09-02,SOPH,0,177,0.24,1,2,300,0,148,bykaranteli-hl-scan
2026-09-02,SPX,16,719544,0,1,5,300,16,603762,bykaranteli-hl-scan
2026-09-02,STABLE,0,59740,0,0,2,300,0,50532,bykaranteli-hl-scan
2026-09-02,STBL,68987,256216,21.21,2,2,300,47568,256063,bykaranteli-hl-scan
2026-09-02,STRK,102749,1106019,8.5,2,5,300,102748,543336,bykaranteli-hl-scan
2026-09-02,STX,0,87631,0,0,4,300,0,61255,bykaranteli-hl-scan
2026-09-02,SUI,3223050,3350898,49.03,5,9,300,2442123,1335846,bykaranteli-hl-scan
2026-09-02,SUPER,0,97,0,0,1,300,0,97,bykaranteli-hl-scan
2026-09-02,SUSHI,42,0,100,1,0,300,42,0,bykaranteli-hl-scan
2026-09-02,SYRUP,11158,7951,58.39,1,2,300,11158,6109,bykaranteli-hl-scan
2026-09-02,TAO,38294,4419918,0.86,5,6,300,31972,1849899,bykaranteli-hl-scan
2026-09-02,TIA,46069,415533,9.98,3,3,300,32168,342269,bykaranteli-hl-scan
2026-09-02,TRB,44314,0,100,2,0,300,44294,0,bykaranteli-hl-scan
