date,currency,dvol,source
2021-05-21,BTC,139.98,bykaranteli.com
2021-05-21,ETH,185.12,bykaranteli.com
2021-05-22,BTC,140.05,bykaranteli.com
2021-05-22,ETH,186.76,bykaranteli.com
2021-05-23,BTC,156.2,bykaranteli.com
2021-05-23,ETH,193.34,bykaranteli.com
2021-05-24,BTC,125.12,bykaranteli.com
2021-05-24,ETH,165.51,bykaranteli.com
2021-05-25,BTC,129.11,bykaranteli.com
2021-05-25,ETH,167.01,bykaranteli.com
2021-05-26,BTC,117.02,bykaranteli.com
2021-05-26,ETH,162.34,bykaranteli.com
2021-05-27,BTC,107.26,bykaranteli.com
2021-05-27,ETH,161.07,bykaranteli.com
2021-05-28,BTC,122.55,bykaranteli.com
2021-05-28,ETH,170.2,bykaranteli.com
2021-05-29,BTC,129.3,bykaranteli.com
2021-05-29,ETH,173.12,bykaranteli.com
2021-05-30,BTC,123.61,bykaranteli.com
2021-05-30,ETH,156.16,bykaranteli.com
2021-05-31,BTC,106.47,bykaranteli.com
2021-05-31,ETH,148.59,bykaranteli.com
2021-06-01,BTC,108.23,bykaranteli.com
2021-06-01,ETH,149.88,bykaranteli.com
2021-06-02,BTC,103.17,bykaranteli.com
2021-06-02,ETH,145.1,bykaranteli.com
2021-06-03,BTC,99.19,bykaranteli.com
2021-06-03,ETH,140.76,bykaranteli.com
2021-06-04,BTC,102.91,bykaranteli.com
2021-06-04,ETH,138.64,bykaranteli.com
2021-06-05,BTC,108.52,bykaranteli.com
2021-06-05,ETH,140.87,bykaranteli.com
2021-06-06,BTC,105.93,bykaranteli.com
2021-06-06,ETH,138.32,bykaranteli.com
2021-06-07,BTC,108.32,bykaranteli.com
2021-06-07,ETH,138.24,bykaranteli.com
2021-06-08,BTC,111.04,bykaranteli.com
2021-06-08,ETH,141.21,bykaranteli.com
2021-06-09,BTC,105.82,bykaranteli.com
2021-06-09,ETH,133.27,bykaranteli.com
2021-06-10,BTC,99.46,bykaranteli.com
2021-06-10,ETH,125.64,bykaranteli.com
2021-06-11,BTC,97.22,bykaranteli.com
2021-06-11,ETH,122.64,bykaranteli.com
2021-06-12,BTC,99.39,bykaranteli.com
2021-06-12,ETH,122.26,bykaranteli.com
2021-06-13,BTC,102.86,bykaranteli.com
2021-06-13,ETH,123.11,bykaranteli.com
2021-06-14,BTC,98.88,bykaranteli.com
2021-06-14,ETH,119.31,bykaranteli.com
2021-06-15,BTC,96.77,bykaranteli.com
2021-06-15,ETH,110.35,bykaranteli.com
2021-06-16,BTC,95.25,bykaranteli.com
2021-06-16,ETH,109.16,bykaranteli.com
2021-06-17,BTC,95.28,bykaranteli.com
2021-06-17,ETH,106.66,bykaranteli.com
2021-06-18,BTC,94.73,bykaranteli.com
2021-06-18,ETH,108.92,bykaranteli.com
2021-06-19,BTC,91.89,bykaranteli.com
2021-06-19,ETH,103.76,bykaranteli.com
2021-06-20,BTC,95.63,bykaranteli.com
2021-06-20,ETH,106.78,bykaranteli.com
2021-06-21,BTC,106.23,bykaranteli.com
2021-06-21,ETH,124.43,bykaranteli.com
2021-06-22,BTC,107.01,bykaranteli.com
2021-06-22,ETH,123.72,bykaranteli.com
2021-06-23,BTC,102.21,bykaranteli.com
2021-06-23,ETH,118.16,bykaranteli.com
2021-06-24,BTC,100.99,bykaranteli.com
2021-06-24,ETH,116.28,bykaranteli.com
2021-06-25,BTC,105.3,bykaranteli.com
2021-06-25,ETH,118.58,bykaranteli.com
2021-06-26,BTC,106.7,bykaranteli.com
2021-06-26,ETH,119.49,bykaranteli.com
2021-06-27,BTC,106.41,bykaranteli.com
2021-06-27,ETH,117.59,bykaranteli.com
2021-06-28,BTC,104.3,bykaranteli.com
2021-06-28,ETH,114.07,bykaranteli.com
2021-06-29,BTC,98.86,bykaranteli.com
2021-06-29,ETH,109.67,bykaranteli.com
2021-06-30,BTC,104.51,bykaranteli.com
2021-06-30,ETH,114.41,bykaranteli.com
2021-07-01,BTC,102.38,bykaranteli.com
2021-07-01,ETH,113.77,bykaranteli.com
2021-07-02,BTC,99.23,bykaranteli.com
2021-07-02,ETH,108.95,bykaranteli.com
2021-07-03,BTC,98.02,bykaranteli.com
2021-07-03,ETH,107.32,bykaranteli.com
2021-07-04,BTC,95.89,bykaranteli.com
2021-07-04,ETH,104.96,bykaranteli.com
2021-07-05,BTC,96.39,bykaranteli.com
2021-07-05,ETH,102.79,bykaranteli.com
2021-07-06,BTC,95.74,bykaranteli.com
2021-07-06,ETH,106.33,bykaranteli.com
2021-07-07,BTC,94.93,bykaranteli.com
2021-07-07,ETH,105.5,bykaranteli.com
2021-07-08,BTC,94.43,bykaranteli.com
2021-07-08,ETH,107.88,bykaranteli.com
2021-07-09,BTC,90.89,bykaranteli.com
2021-07-09,ETH,103.92,bykaranteli.com
2021-07-10,BTC,90.57,bykaranteli.com
2021-07-10,ETH,104.72,bykaranteli.com
2021-07-11,BTC,88.71,bykaranteli.com
2021-07-11,ETH,103.6,bykaranteli.com
2021-07-12,BTC,90.51,bykaranteli.com
2021-07-12,ETH,103.41,bykaranteli.com
2021-07-13,BTC,90.81,bykaranteli.com
2021-07-13,ETH,105.3,bykaranteli.com
2021-07-14,BTC,86.97,bykaranteli.com
2021-07-14,ETH,101.34,bykaranteli.com
2021-07-15,BTC,85.55,bykaranteli.com
2021-07-15,ETH,101.7,bykaranteli.com
2021-07-16,BTC,82.59,bykaranteli.com
2021-07-16,ETH,100.98,bykaranteli.com
2021-07-17,BTC,82.78,bykaranteli.com
2021-07-17,ETH,100.89,bykaranteli.com
2021-07-18,BTC,83.52,bykaranteli.com
2021-07-18,ETH,101.43,bykaranteli.com
2021-07-19,BTC,88.46,bykaranteli.com
2021-07-19,ETH,106.48,bykaranteli.com
2021-07-20,BTC,91.49,bykaranteli.com
2021-07-20,ETH,108.45,bykaranteli.com
2021-07-21,BTC,87.86,bykaranteli.com
2021-07-21,ETH,108.34,bykaranteli.com
2021-07-22,BTC,84.64,bykaranteli.com
2021-07-22,ETH,105.24,bykaranteli.com
