date,currency,instrument,expiry,strike,type,open_interest,mark_iv,underlying_usd
2026-08-18,BTC,BTC-19AUG26-64000-C,19AUG26,64000,call,65.5,20.66,64400.61
2026-08-18,BTC,BTC-19AUG26-64000-P,19AUG26,64000,put,22.7,20.66,64400.61
2026-08-18,BTC,BTC-19AUG26-64500-C,19AUG26,64500,call,167.3,20.01,64400.61
2026-08-18,BTC,BTC-19AUG26-64500-P,19AUG26,64500,put,12.2,20.01,64400.61
2026-08-18,BTC,BTC-19AUG26-65000-C,19AUG26,65000,call,66.4,19.85,64400.61
2026-08-18,BTC,BTC-19AUG26-65000-P,19AUG26,65000,put,0,19.85,64400.61
2026-08-18,BTC,BTC-19AUG26-65500-C,19AUG26,65500,call,21,21.27,64400.61
2026-08-18,BTC,BTC-19AUG26-65500-P,19AUG26,65500,put,0,21.27,64400.61
2026-08-18,BTC,BTC-19AUG26-66000-C,19AUG26,66000,call,9.2,22.61,64400.61
2026-08-18,BTC,BTC-19AUG26-66000-P,19AUG26,66000,put,0.2,22.61,64400.77
2026-08-18,BTC,BTC-19AUG26-67000-C,19AUG26,67000,call,0.5,29.11,64400.61
2026-08-18,BTC,BTC-19AUG26-67000-P,19AUG26,67000,put,0,29.11,64400.61
2026-08-18,BTC,BTC-19AUG26-68000-C,19AUG26,68000,call,0,30.37,64400.61
2026-08-18,BTC,BTC-19AUG26-68000-P,19AUG26,68000,put,0,30.37,64400.61
2026-08-18,BTC,BTC-19AUG26-69000-C,19AUG26,69000,call,0,33.27,64400.61
2026-08-18,BTC,BTC-19AUG26-69000-P,19AUG26,69000,put,0,33.27,64400.61
2026-08-18,BTC,BTC-19AUG26-70000-C,19AUG26,70000,call,0,39.43,64400.61
2026-08-18,BTC,BTC-19AUG26-70000-P,19AUG26,70000,put,0,39.43,64400.61
2026-08-18,BTC,BTC-20AUG26-56000-C,20AUG26,56000,call,0,54.43,64412.32
2026-08-18,BTC,BTC-20AUG26-56000-P,20AUG26,56000,put,0.2,54.43,64412.43
2026-08-18,BTC,BTC-20AUG26-57000-C,20AUG26,57000,call,0,54.12,64412.32
2026-08-18,BTC,BTC-20AUG26-57000-P,20AUG26,57000,put,8.7,54.12,64412.43
2026-08-18,BTC,BTC-20AUG26-58000-C,20AUG26,58000,call,0,48.18,64412.32
2026-08-18,BTC,BTC-20AUG26-58000-P,20AUG26,58000,put,11.2,48.18,64412.43
2026-08-18,BTC,BTC-20AUG26-59000-C,20AUG26,59000,call,0,47.93,64412.32
2026-08-18,BTC,BTC-20AUG26-59000-P,20AUG26,59000,put,6.2,47.93,64412.43
2026-08-18,BTC,BTC-20AUG26-60000-C,20AUG26,60000,call,0,41.38,64412.32
2026-08-18,BTC,BTC-20AUG26-60000-P,20AUG26,60000,put,6.9,41.38,64412.32
2026-08-18,BTC,BTC-20AUG26-60500-C,20AUG26,60500,call,0,38.77,64412.32
2026-08-18,BTC,BTC-20AUG26-60500-P,20AUG26,60500,put,66,38.77,64412.43
2026-08-18,BTC,BTC-20AUG26-61000-C,20AUG26,61000,call,0,35.38,64412.32
2026-08-18,BTC,BTC-20AUG26-61000-P,20AUG26,61000,put,14.7,35.38,64412.32
2026-08-18,BTC,BTC-20AUG26-61500-C,20AUG26,61500,call,0,32.68,64412.32
2026-08-18,BTC,BTC-20AUG26-61500-P,20AUG26,61500,put,17.3,32.68,64412.43
2026-08-18,BTC,BTC-20AUG26-62000-C,20AUG26,62000,call,0,30.27,64412.43
2026-08-18,BTC,BTC-20AUG26-62000-P,20AUG26,62000,put,46.6,30.27,64412.32
2026-08-18,BTC,BTC-20AUG26-62500-C,20AUG26,62500,call,0,27.48,64412.32
2026-08-18,BTC,BTC-20AUG26-62500-P,20AUG26,62500,put,10.2,27.48,64412.32
2026-08-18,BTC,BTC-20AUG26-63000-P,20AUG26,63000,put,1.7,25.45,64412.32
2026-08-18,BTC,BTC-20AUG26-63000-C,20AUG26,63000,call,5.2,25.45,64412.32
2026-08-18,BTC,BTC-20AUG26-63500-C,20AUG26,63500,call,66.1,23.94,64412.43
2026-08-18,BTC,BTC-20AUG26-63500-P,20AUG26,63500,put,70.3,23.94,64412.32
2026-08-18,BTC,BTC-20AUG26-64000-C,20AUG26,64000,call,33.2,22.89,64412.43
2026-08-18,BTC,BTC-20AUG26-64000-P,20AUG26,64000,put,13.6,22.89,64412.32
2026-08-18,BTC,BTC-20AUG26-64500-C,20AUG26,64500,call,152.7,22.51,64412.43
2026-08-18,BTC,BTC-20AUG26-64500-P,20AUG26,64500,put,0.2,22.51,64412.43
2026-08-18,BTC,BTC-20AUG26-65000-C,20AUG26,65000,call,105.5,21.95,64412.32
2026-08-18,BTC,BTC-20AUG26-65000-P,20AUG26,65000,put,0,21.95,64412.43
2026-08-18,BTC,BTC-20AUG26-65500-C,20AUG26,65500,call,65.4,22.06,64412.32
2026-08-18,BTC,BTC-20AUG26-65500-P,20AUG26,65500,put,0,22.06,64412.32
2026-08-18,BTC,BTC-20AUG26-66000-C,20AUG26,66000,call,3.6,22.91,64412.32
2026-08-18,BTC,BTC-20AUG26-66000-P,20AUG26,66000,put,0,22.91,64412.32
2026-08-18,BTC,BTC-20AUG26-67000-C,20AUG26,67000,call,48.3,26.94,64412.43
2026-08-18,BTC,BTC-20AUG26-67000-P,20AUG26,67000,put,0,26.94,64412.43
2026-08-18,BTC,BTC-20AUG26-68000-C,20AUG26,68000,call,0.1,30.43,64412.43
2026-08-18,BTC,BTC-20AUG26-68000-P,20AUG26,68000,put,0,30.43,64412.32
2026-08-18,BTC,BTC-20AUG26-69000-C,20AUG26,69000,call,0,32.26,64412.32
2026-08-18,BTC,BTC-20AUG26-69000-P,20AUG26,69000,put,0,32.26,64412.32
