date,symbol,oi_base_close,oi_usd_close,funding_rate_sum_pct,long_liquidations_usd,short_liquidations_usd,liquidation_events,source
2026-09-02,LITEUSDT,14718.87,12804578,0,13937,20226,20,bykaranteli.com
2026-09-02,LRCXUSDT,,,,40,949,3,bykaranteli.com
2026-09-02,LYTEUSDT,,,,6,0,1,bykaranteli.com
2026-09-02,MARAUSDT,,,,5400,82,9,bykaranteli.com
2026-09-02,MDBUSDT,,,,193,1777,8,bykaranteli.com
2026-09-02,MEITUANUSDT,,,,5348,0,7,bykaranteli.com
2026-09-02,METAUSDT,41143.06,24610133,0,10055,17,10,bykaranteli.com
2026-09-02,MINIMAXUSDT,,,,532,108563,32,bykaranteli.com
2026-09-02,MRKUSDT,,,,0,3242,6,bykaranteli.com
2026-09-02,MRNAUSDT,,,,897,21718,28,bykaranteli.com
2026-09-02,MRVLUSDT,197145.87,40761880,0.008032,51354,7121,28,bykaranteli.com
2026-09-02,MSFTUSDT,42054.91,20969934,0.003241,9733,42353,20,bykaranteli.com
2026-09-02,MSTRUSDT,387477.64,47802548,0.102371,603701,7247,71,bykaranteli.com
2026-09-02,MUUSDT,113884.26,108762885,0,222111,71055,80,bykaranteli.com
2026-09-02,MUUUSDT,,,,54,12382,18,bykaranteli.com
2026-09-02,MVLLUSDT,,,,70907,90,16,bykaranteli.com
2026-09-02,NATGASUSDT,5182801.7,15582425,0,10620,11772,18,bykaranteli.com
2026-09-02,NBISUSDT,106294.86,21669270,0.068275,60336,1240,23,bykaranteli.com
2026-09-02,NETUSDT,,,,16772,0,4,bykaranteli.com
2026-09-02,NFLXUSDT,,,,0,88,1,bykaranteli.com
2026-09-02,NOKUSDT,,,,20453,6900,11,bykaranteli.com
2026-09-02,NOWUSDT,,,,865,48118,4,bykaranteli.com
2026-09-02,NVDAUSDT,400575.1,90360940,0.011542,97935,77426,78,bykaranteli.com
2026-09-02,NVDLUSDT,,,,36,3593,16,bykaranteli.com
2026-09-02,ONDSUSDT,,,,40473,2867,7,bykaranteli.com
2026-09-02,OPENAIUSDT,9617.69,12319153,0.015,930,27746,24,bykaranteli.com
2026-09-02,ORCLUSDT,,,,15816,4444,15,bykaranteli.com
2026-09-02,PANWUSDT,,,,3592,212,10,bykaranteli.com
2026-09-02,PAYPUSDT,,,,26,0,2,bykaranteli.com
2026-09-02,PDDUSDT,,,,4128,0,7,bykaranteli.com
2026-09-02,PENGUSDT,,,,0,2,1,bykaranteli.com
2026-09-02,PLTRUSDT,,,,19130,49381,39,bykaranteli.com
2026-09-02,POPMARTUSDT,,,,192,385,3,bykaranteli.com
2026-09-02,PYPLUSDT,,,,19571,0,4,bykaranteli.com
2026-09-02,QCOMUSDT,,,,1547,11267,7,bykaranteli.com
2026-09-02,QNTXUSDT,,,,1661,0,9,bykaranteli.com
2026-09-02,QQQUSDT,92561.21,65738823,0.004456,9740,1355,18,bykaranteli.com
2026-09-02,RAMUSDT,,,,2195,8,5,bykaranteli.com
2026-09-02,RDDTUSDT,,,,492,348,10,bykaranteli.com
2026-09-02,RIVNUSDT,,,,0,1469,1,bykaranteli.com
2026-09-02,RKLBUSDT,,,,13183,1984,16,bykaranteli.com
2026-09-02,SAMSUNGEMUSDT,,,,0,10,1,bykaranteli.com
2026-09-02,SAMSUNGUSDT,130036.32,24361004,0.031834,29032,16997,10,bykaranteli.com
2026-09-02,SHAZUSDT,,,,869,1205,7,bykaranteli.com
2026-09-02,SHOPUSDT,,,,108,0,4,bykaranteli.com
2026-09-02,SKDDUSDT,,,,3407,8042,17,bykaranteli.com
2026-09-02,SKHYNIXUSDT,233677.86,283988703,0.080221,689307,124175,147,bykaranteli.com
2026-09-02,SKHYUSDT,610323.62,100538610,0,36023,304896,54,bykaranteli.com
2026-09-02,SKUUUSDT,,,,871,4869,9,bykaranteli.com
2026-09-02,SMCIUSDT,,,,109,36376,9,bykaranteli.com
2026-09-02,SMHUSDT,,,,5,0,1,bykaranteli.com
2026-09-02,SNDKUSDT,194460.34,300760140,0.038484,2158915,1188379,755,bykaranteli.com
2026-09-02,SNOWUSDT,,,,4840,122181,78,bykaranteli.com
2026-09-02,SNXXUSDT,2173017.35,30139751,0,32449,158526,68,bykaranteli.com
2026-09-02,SOFIUSDT,,,,5,97,2,bykaranteli.com
2026-09-02,SONYUSDT,,,,7,9058,6,bykaranteli.com
2026-09-02,SOXLUSDT,1329516.85,141753087,0.088549,1274328,998459,240,bykaranteli.com
2026-09-02,SOXSUSDT,412610.58,21360850,0,58589,17541,38,bykaranteli.com
2026-09-02,SPCXUSDT,2567002.21,360766491,-0.012942,590759,302807,210,bykaranteli.com
2026-09-02,SPYUSDT,42871.42,32845510,0.011156,1127,6332,7,bykaranteli.com
2026-09-02,SQQQUSDT,,,,847,557,8,bykaranteli.com
2026-09-02,STXXUSDT,,,,9909,1818,6,bykaranteli.com
2026-09-02,TBTUSDT,,,,44,7553,4,bykaranteli.com
2026-09-02,TEAMUSDT,,,,11,480,2,bykaranteli.com
2026-09-02,TEMUSDT,,,,1043,225,7,bykaranteli.com
2026-09-02,TENCENTUSDT,,,,313,211,6,bykaranteli.com
2026-09-02,TERUSDT,,,,3068,138,3,bykaranteli.com
2026-09-02,TMFUSDT,,,,70,0,1,bykaranteli.com
2026-09-02,TQQQUSDT,,,,31199,6036,7,bykaranteli.com
2026-09-02,TSLAUSDT,118668.88,42368706,0.033349,90052,20168,39,bykaranteli.com
2026-09-02,TSLLUSDT,,,,3040,17,13,bykaranteli.com
2026-09-02,TSMUSDT,,,,35605,5206,12,bykaranteli.com
2026-09-02,TTWOUSDT,,,,63,0,1,bykaranteli.com
2026-09-02,TXNUSDT,,,,1315,0,3,bykaranteli.com
2026-09-02,TZAUSDT,,,,29,0,1,bykaranteli.com
2026-09-02,UBERUSDT,,,,10,117,4,bykaranteli.com
2026-09-02,UNITREEUSDT,,,,50319,64487,92,bykaranteli.com
2026-09-02,URNMUSDT,,,,0,22,1,bykaranteli.com
2026-09-02,USARUSDT,,,,10170,2,7,bykaranteli.com
2026-09-02,UVXYUSDT,,,,26318,321,7,bykaranteli.com
2026-09-02,VRTUSDT,,,,500,10,4,bykaranteli.com
2026-09-02,VSTUSDT,,,,38132,229,6,bykaranteli.com
2026-09-02,VUSDT,,,,8,14850,7,bykaranteli.com
2026-09-02,WDCUSDT,,,,30689,0,13,bykaranteli.com
2026-09-02,WENUSDT,,,,35,10,2,bykaranteli.com
2026-09-02,WMTUSDT,,,,2133,1,6,bykaranteli.com
2026-09-02,XAGUSDT,3226192.618,211057521,0.087291,1206503,217440,196,bykaranteli.com
2026-09-02,XAUUSDT,110645.919,485707923,0.085688,3599975,2429110,705,bykaranteli.com
2026-09-02,XLEUSDT,,,,0,311,2,bykaranteli.com
2026-09-02,XPDUSDT,,,,3467,5,8,bykaranteli.com
2026-09-02,XPTUSDT,,,,51140,209,7,bykaranteli.com
2026-09-02,ZHIPUUSDT,,,,142,3271,6,bykaranteli.com
2026-09-02,ZHONGJIUSDT,,,,5794,1564,20,bykaranteli.com
2026-09-02,ZMUSDT,,,,0,84,1,bykaranteli.com
2026-09-02,ZSUSDT,,,,106,7,3,bykaranteli.com
