report_date,market_code,market_name,open_interest,hedge_fund_long,hedge_fund_short,institutional_long,institutional_short,other_reportable_long,other_reportable_short,small_trader_long,small_trader_short,source
2026-07-07,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,24658,12979,10385,379,1345,4827,4320,5084,2912,bykaranteli.com
2026-07-07,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,21746,2488,9797,1819,3928,25,199,681,540,bykaranteli.com
2026-07-07,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,42958,19424,24248,1151,9322,19582,5764,1653,673,bykaranteli.com
2026-06-30,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,18336,5408,10721,4754,2754,145,1123,758,992,bykaranteli.com
2026-06-30,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27045,13888,14692,377,1208,4621,4474,5159,3101,bykaranteli.com
2026-06-30,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,21475,4668,9359,874,3912,50,537,550,471,bykaranteli.com
2026-06-30,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,36732,14445,20276,932,9357,18341,6029,1621,466,bykaranteli.com
2026-06-23,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20554,4925,11055,5202,2617,216,431,935,1206,bykaranteli.com
2026-06-23,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,23572,6944,10950,375,1251,4736,3525,6255,3549,bykaranteli.com
2026-06-23,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,26007,5617,10594,1038,4054,100,445,699,616,bykaranteli.com
2026-06-23,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,46777,15532,26415,1649,9363,24786,6374,2388,662,bykaranteli.com
2026-06-16,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21125,6077,12684,5433,2926,301,281,1140,1070,bykaranteli.com
2026-06-16,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,26676,6655,16219,432,1225,5126,3086,6460,2682,bykaranteli.com
2026-06-16,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,26110,4855,11607,1433,3747,151,245,635,580,bykaranteli.com
2026-06-16,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,48079,14275,28234,1680,9226,27841,5999,2468,769,bykaranteli.com
2026-06-09,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,19776,6153,12148,5330,2442,122,592,1009,1121,bykaranteli.com
2026-06-09,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,24335,6312,12876,503,1029,5165,3387,6414,3265,bykaranteli.com
2026-06-09,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,25138,7370,12021,903,4145,54,398,677,541,bykaranteli.com
2026-06-09,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,51582,17295,27020,1638,9293,26066,9399,2445,922,bykaranteli.com
2026-06-02,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,19882,6269,12827,5256,2153,365,518,1153,1016,bykaranteli.com
2026-06-02,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,23134,7031,11509,386,523,5218,3243,5808,3181,bykaranteli.com
2026-06-02,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,25516,7161,11482,1183,4486,25,549,632,1217,bykaranteli.com
2026-06-02,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,42223,16092,20966,1600,8399,17825,7792,2004,802,bykaranteli.com
2026-05-26,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21625,4666,13300,5950,1598,421,329,1267,1159,bykaranteli.com
2026-05-26,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,22358,8529,12358,192,607,5128,2283,5661,2401,bykaranteli.com
2026-05-26,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,30856,6212,13716,1593,3185,106,443,753,1653,bykaranteli.com
2026-05-26,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,56580,13670,27287,1857,6016,21817,9295,2650,785,bykaranteli.com
2026-05-19,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23000,5253,14214,6227,1406,210,291,1262,1102,bykaranteli.com
2026-05-19,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,17896,4405,7090,318,664,5380,2506,5836,2579,bykaranteli.com
2026-05-19,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,33062,5907,14242,1932,3432,58,514,684,411,bykaranteli.com
2026-05-19,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,44538,14416,24761,1335,4022,18715,8165,2396,1016,bykaranteli.com
2026-05-12,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23535,4347,15417,7097,1297,782,294,1949,1048,bykaranteli.com
2026-05-12,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,23443,8668,11982,1005,608,5875,3517,6339,2518,bykaranteli.com
2026-05-12,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,31749,4372,14776,2639,3175,37,503,3662,572,bykaranteli.com
2026-05-12,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,44378,15661,30211,1530,3881,19523,5544,3226,568,bykaranteli.com
2026-05-05,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23402,4148,15886,7096,909,1356,372,1184,1086,bykaranteli.com
2026-05-05,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27157,8780,7821,1034,723,6285,4412,6423,2524,bykaranteli.com
2026-05-05,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,30408,2330,15923,3385,2025,244,83,811,516,bykaranteli.com
2026-05-05,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,37290,11284,26127,1307,5161,21766,3251,2305,547,bykaranteli.com
2026-04-28,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21692,3534,13894,6621,1196,727,293,1046,1106,bykaranteli.com
2026-04-28,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,18731,4903,6944,407,973,5823,3621,5873,2259,bykaranteli.com
2026-04-28,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,27777,2142,13783,2462,2017,36,308,736,560,bykaranteli.com
2026-04-28,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,41497,15373,31212,1764,4843,20537,3251,2173,560,bykaranteli.com
