date,symbol,funding_rate_pct,oi_24h_pct,price_change_24h_pct,source
2026-07-25,OPUSDT,0.002981,-2.74867747136,0.217,bykaranteli.com
2026-07-25,SEIUSDT,-0.028067,2.85818118125,-3.416,bykaranteli.com
2026-07-25,SOLUSDT,-0.003795,3.57609584669,-2.273,bykaranteli.com
2026-07-25,SUIUSDT,-0.003407,1.52929774055,-4.152,bykaranteli.com
2026-07-25,TIAUSDT,0.004165,-3.37643778335,-2.133,bykaranteli.com
2026-07-25,TRXUSDT,0.001836,5.38003333995,0.563,bykaranteli.com
2026-07-25,UNIUSDT,0.005318,1.69869377297,0.799,bykaranteli.com
2026-07-25,WIFUSDT,0.005,1.93296639976,1.265,bykaranteli.com
2026-07-25,XRPUSDT,-0.003676,-1.13269576782,-1.293,bykaranteli.com
2026-07-27,AAVEUSDT,0.01,6.56869962709,9.739,bykaranteli.com
2026-07-27,ADAUSDT,-0.008121,0.386440201956,0.121,bykaranteli.com
2026-07-27,APTUSDT,0.005013,-0.00632554817738,2.635,bykaranteli.com
2026-07-27,ARBUSDT,-0.022351,2.52983704522,0.267,bykaranteli.com
2026-07-27,ATOMUSDT,-0.000936,1.12515436811,0.796,bykaranteli.com
2026-07-27,AVAXUSDT,0.01,-3.77153382389,-1.001,bykaranteli.com
2026-07-27,BCHUSDT,-0.006926,-2.19410432954,3.373,bykaranteli.com
2026-07-27,BNBUSDT,0.006601,-0.307283301357,0.869,bykaranteli.com
2026-07-27,BTCUSDT,0.006148,-2.93445385968,1.249,bykaranteli.com
2026-07-27,DOGEUSDT,0.004148,2.13657542673,2.106,bykaranteli.com
2026-07-27,DOTUSDT,0.003165,0.591441735761,1.055,bykaranteli.com
2026-07-27,ETCUSDT,0.01,-4.17314725937,5.364,bykaranteli.com
2026-07-27,ETHUSDT,0.01,1.29197712956,3.84,bykaranteli.com
2026-07-27,FILUSDT,0.001851,-3.35150547468,0.747,bykaranteli.com
2026-07-27,ICPUSDT,0.002794,-0.925860809155,2.096,bykaranteli.com
2026-07-27,INJUSDT,-0.010308,7.16416179874,-2.046,bykaranteli.com
2026-07-27,LINKUSDT,0.01,4.42597397284,5.057,bykaranteli.com
2026-07-27,LTCUSDT,0.006782,5.8954215963,2.278,bykaranteli.com
2026-07-27,NEARUSDT,0.01,0.0116355325217,2.175,bykaranteli.com
2026-07-27,OPUSDT,0.001303,-1.2826353881,2.709,bykaranteli.com
2026-07-27,SEIUSDT,0.002228,-1.73279923481,0.695,bykaranteli.com
2026-07-27,SOLUSDT,0.009033,-4.88739395498,2.575,bykaranteli.com
2026-07-27,SUIUSDT,-0.000485,2.65269768703,1.475,bykaranteli.com
2026-07-27,TIAUSDT,0.003115,-3.12233285859,2.949,bykaranteli.com
2026-07-27,TRXUSDT,-0.006659,-1.09691223047,0.172,bykaranteli.com
2026-07-27,UNIUSDT,0.01,0.694455399812,4.871,bykaranteli.com
2026-07-27,WIFUSDT,0.003103,0.0973270357897,-1.1,bykaranteli.com
2026-07-27,XRPUSDT,0.001168,0.0403189807744,1.138,bykaranteli.com
2026-07-28,AAVEUSDT,0.007554,6.56869962709,-2.747,bykaranteli.com
2026-07-28,ADAUSDT,-0.025216,0.386440201956,-6.518,bykaranteli.com
2026-07-28,APTUSDT,-0.002333,-0.00632554817738,-5.619,bykaranteli.com
2026-07-28,ARBUSDT,0.006814,2.52983704522,-7.62,bykaranteli.com
2026-07-28,ATOMUSDT,-0.00962,1.12515436811,-6.919,bykaranteli.com
2026-07-28,AVAXUSDT,0.006258,-3.77153382389,-3.883,bykaranteli.com
2026-07-28,BCHUSDT,-0.019319,-2.19410432954,-2.005,bykaranteli.com
2026-07-28,BNBUSDT,0.003788,-0.307283301357,-1.556,bykaranteli.com
2026-07-28,BTCUSDT,0.007139,-2.93445385968,-2.323,bykaranteli.com
2026-07-28,DOGEUSDT,0.006,2.13657542673,-3.688,bykaranteli.com
2026-07-28,DOTUSDT,-0.017231,0.591441735761,-8.714,bykaranteli.com
2026-07-28,ETCUSDT,0.01,-4.17314725937,-4.566,bykaranteli.com
2026-07-28,ETHUSDT,0.005134,1.29197712956,-2.789,bykaranteli.com
2026-07-28,FILUSDT,-0.00854,-3.35150547468,-6.763,bykaranteli.com
2026-07-28,ICPUSDT,-0.008519,-0.925860809155,-4.064,bykaranteli.com
2026-07-28,INJUSDT,-0.007038,7.16416179874,-5.409,bykaranteli.com
2026-07-28,LINKUSDT,0.002038,4.42597397284,-3.754,bykaranteli.com
2026-07-28,LTCUSDT,0.000853,5.8954215963,-3.917,bykaranteli.com
2026-07-28,NEARUSDT,0.00922,0.0116355325217,-6.59,bykaranteli.com
2026-07-28,OPUSDT,-0.009125,-1.2826353881,-8.333,bykaranteli.com
2026-07-28,SEIUSDT,-0.021226,-1.73279923481,-5.008,bykaranteli.com
2026-07-28,SOLUSDT,0.000079,-4.88739395498,-3.3,bykaranteli.com
2026-07-28,SUIUSDT,-0.00753,2.65269768703,-5.726,bykaranteli.com
2026-07-28,TIAUSDT,0.003962,-3.12233285859,-7.42,bykaranteli.com
2026-07-28,TRXUSDT,-0.017353,-1.09691223047,-1.704,bykaranteli.com
2026-07-28,UNIUSDT,-0.002512,0.694455399812,-5.413,bykaranteli.com
2026-07-28,WIFUSDT,0.004709,0.0973270357897,-4.05,bykaranteli.com
2026-07-28,XRPUSDT,-0.006882,0.0403189807744,-3.966,bykaranteli.com
2026-07-29,AAVEUSDT,0.01,1.02405493317,3.297,bykaranteli.com
2026-07-29,ADAUSDT,0.01,4.43431453767,4.44,bykaranteli.com
2026-07-29,APTUSDT,-0.006042,-3.31832595597,-0.575,bykaranteli.com
2026-07-29,ARBUSDT,0.007549,-3.80751817737,2.551,bykaranteli.com
2026-07-29,ATOMUSDT,0.003462,2.65902639633,0.925,bykaranteli.com
2026-07-29,AVAXUSDT,0.007443,-3.55059174302,3.414,bykaranteli.com
2026-07-29,BCHUSDT,0.006461,-1.69325039833,1.251,bykaranteli.com
2026-07-29,BNBUSDT,0.002929,-2.05923902843,1.004,bykaranteli.com
2026-07-29,BTCUSDT,0.01,-2.22495099804,0.429,bykaranteli.com
2026-07-29,DOGEUSDT,0.009301,1.20898577815,1.067,bykaranteli.com
2026-07-29,DOTUSDT,0.004925,4.25106684174,0.726,bykaranteli.com
2026-07-29,ETCUSDT,0.002973,-6.81164508746,-0.324,bykaranteli.com
2026-07-29,ETHUSDT,0.005674,-2.34794415918,1.679,bykaranteli.com
2026-07-29,FILUSDT,-0.000631,1.62740703597,2.177,bykaranteli.com
2026-07-29,ICPUSDT,0.01,1.35780450158,1.58,bykaranteli.com
2026-07-29,INJUSDT,-0.021505,2.49273302533,-1.487,bykaranteli.com
2026-07-29,LINKUSDT,0.01,-1.42902226211,1.159,bykaranteli.com
2026-07-29,LTCUSDT,0.003199,0.521914092552,0.587,bykaranteli.com
2026-07-29,NEARUSDT,0.01,1.74476304868,-1.601,bykaranteli.com
2026-07-29,OPUSDT,0.01,-6.53335458885,2.87,bykaranteli.com
2026-07-29,SEIUSDT,-0.004947,-2.25565518441,3.223,bykaranteli.com
2026-07-29,SOLUSDT,0.002933,-3.90273718446,-0.337,bykaranteli.com
2026-07-29,SUIUSDT,0.001366,0.452374970905,1.984,bykaranteli.com
2026-07-29,TIAUSDT,0.005,2.01405765959,1.199,bykaranteli.com
2026-07-29,TRXUSDT,-0.010114,-3.62187029145,0.04,bykaranteli.com
2026-07-29,UNIUSDT,0.008828,-3.86530825348,5.094,bykaranteli.com
2026-07-29,WIFUSDT,0.005,-3.71816717633,0.339,bykaranteli.com
2026-07-29,XRPUSDT,0.005577,0.180906303014,0.563,bykaranteli.com
2026-07-30,AAVEUSDT,-0.010363,2.59049118718,-4.395,bykaranteli.com
2026-07-30,ADAUSDT,0.006558,-6.36494562022,0.434,bykaranteli.com
2026-07-30,APTUSDT,-0.013491,3.71106309243,-3.755,bykaranteli.com
