date,venue,country,symbol,venue_usd,binance_usd,premium_pct,source
2026-08-26,btcturk,TR,ETH,2500.7,2504.45,-0.1497,bykaranteli-venue-snapshot
2026-08-26,btcturk,TR,XRP,1.426,1.4231,0.2038,bykaranteli-venue-snapshot
2026-08-26,coinone,KR,BTC,79451.242871,79061.81,0.4926,bykaranteli-venue-snapshot
2026-08-26,coinone,KR,ETH,2517.546206,2504.45,0.5229,bykaranteli-venue-snapshot
2026-08-26,coinone,KR,XRP,1.429718,1.4231,0.465,bykaranteli-venue-snapshot
2026-08-26,upbit,KR,BTC,79071.223022,79061.81,0.0119,bykaranteli-venue-snapshot
2026-08-26,upbit,KR,ETH,2503.597122,2504.45,-0.0341,bykaranteli-venue-snapshot
2026-08-26,upbit,KR,XRP,1.423022,1.4231,-0.0055,bykaranteli-venue-snapshot
2026-08-27,bithumb,KR,BTC,80309.696093,80272.6,0.0462,bykaranteli-venue-snapshot
2026-08-27,bithumb,KR,ETH,2512.301013,2511.4,0.0359,bykaranteli-venue-snapshot
2026-08-27,bithumb,KR,XRP,1.452967,1.4529,0.0046,bykaranteli-venue-snapshot
2026-08-27,btcturk,TR,BTC,80226,80272.6,-0.0581,bykaranteli-venue-snapshot
2026-08-27,btcturk,TR,ETH,2512.8,2511.4,0.0557,bykaranteli-venue-snapshot
2026-08-27,btcturk,TR,XRP,1.4533,1.4529,0.0275,bykaranteli-venue-snapshot
2026-08-27,coinone,KR,BTC,80398.151234,80272.6,0.1564,bykaranteli-venue-snapshot
2026-08-27,coinone,KR,ETH,2515.973862,2511.4,0.1821,bykaranteli-venue-snapshot
2026-08-27,coinone,KR,XRP,1.455396,1.4529,0.1718,bykaranteli-venue-snapshot
2026-08-27,upbit,KR,BTC,80327.062229,80272.6,0.0678,bykaranteli-venue-snapshot
2026-08-27,upbit,KR,ETH,2512.301013,2511.4,0.0359,bykaranteli-venue-snapshot
2026-08-27,upbit,KR,XRP,1.452243,1.4529,-0.0452,bykaranteli-venue-snapshot
2026-08-28,bithumb,KR,BTC,77770.562771,77794.02,-0.0302,bykaranteli-venue-snapshot
2026-08-28,bithumb,KR,ETH,2442.279942,2442.5,-0.009,bykaranteli-venue-snapshot
2026-08-28,bithumb,KR,XRP,1.383117,1.3832,-0.006,bykaranteli-venue-snapshot
2026-08-28,btcturk,TR,BTC,77672,77794.02,-0.1569,bykaranteli-venue-snapshot
2026-08-28,btcturk,TR,ETH,2442.2,2442.5,-0.0123,bykaranteli-venue-snapshot
2026-08-28,btcturk,TR,XRP,1.3831,1.3832,-0.0072,bykaranteli-venue-snapshot
2026-08-28,coinone,KR,BTC,78440.216798,77794.02,0.8307,bykaranteli-venue-snapshot
2026-08-28,coinone,KR,ETH,2463.351642,2442.5,0.8537,bykaranteli-venue-snapshot
2026-08-28,coinone,KR,XRP,1.395366,1.3832,0.8795,bykaranteli-venue-snapshot
2026-08-28,upbit,KR,BTC,77733.766234,77794.02,-0.0775,bykaranteli-venue-snapshot
2026-08-28,upbit,KR,ETH,2441.558442,2442.5,-0.0385,bykaranteli-venue-snapshot
2026-08-28,upbit,KR,XRP,1.382395,1.3832,-0.0582,bykaranteli-venue-snapshot
2026-08-29,bithumb,KR,BTC,78207.045291,78242.56,-0.0454,bykaranteli-venue-snapshot
2026-08-29,bithumb,KR,ETH,2457.225018,2458.17,-0.0384,bykaranteli-venue-snapshot
2026-08-29,bithumb,KR,XRP,1.396118,1.3968,-0.0488,bykaranteli-venue-snapshot
2026-08-29,btcturk,TR,BTC,78212,78242.56,-0.0391,bykaranteli-venue-snapshot
2026-08-29,btcturk,TR,ETH,2455.8,2458.17,-0.0964,bykaranteli-venue-snapshot
2026-08-29,btcturk,TR,XRP,1.3961,1.3968,-0.0501,bykaranteli-venue-snapshot
2026-08-29,coinone,KR,BTC,79167.72762,78242.56,1.1824,bykaranteli-venue-snapshot
2026-08-29,coinone,KR,ETH,2486.631989,2458.17,1.1579,bykaranteli-venue-snapshot
2026-08-29,coinone,KR,XRP,1.413554,1.3968,1.1994,bykaranteli-venue-snapshot
2026-08-29,upbit,KR,BTC,78255.395683,78242.56,0.0164,bykaranteli-venue-snapshot
2026-08-29,upbit,KR,ETH,2460.431655,2458.17,0.092,bykaranteli-venue-snapshot
2026-08-29,upbit,KR,XRP,1.396403,1.3968,-0.0284,bykaranteli-venue-snapshot
2026-08-30,bithumb,KR,BTC,77599.568656,77574.65,0.0321,bykaranteli-venue-snapshot
2026-08-30,bithumb,KR,ETH,2416.966211,2415.65,0.0545,bykaranteli-venue-snapshot
