ts,symbol,side,clip_usd,slippage_bps,book_usd_bid,book_usd_ask,source
2026-08-06T21:00:00.000Z,ADAUSDT,buy,10000,2.452,14357604,11353637,bykaranteli.com
2026-08-06T21:00:00.000Z,ADAUSDT,buy,100000,4.693,14357604,11353637,bykaranteli.com
2026-08-06T21:00:00.000Z,ADAUSDT,buy,1000000,42.414,14357604,11353637,bykaranteli.com
2026-08-06T21:00:00.000Z,ADAUSDT,buy,5000000,135.158,14357604,11353637,bykaranteli.com
2026-08-06T21:00:00.000Z,ADAUSDT,sell,10000,3.253,14357604,11353637,bykaranteli.com
2026-08-06T21:00:00.000Z,ADAUSDT,sell,100000,8.962,14357604,11353637,bykaranteli.com
2026-08-06T21:00:00.000Z,ADAUSDT,sell,1000000,39.698,14357604,11353637,bykaranteli.com
2026-08-06T21:00:00.000Z,ADAUSDT,sell,5000000,112.294,14357604,11353637,bykaranteli.com
2026-08-06T21:00:00.000Z,BNBUSDT,buy,10000,0.236,11600822,10047200,bykaranteli.com
2026-08-06T21:00:00.000Z,BNBUSDT,buy,100000,1.508,11600822,10047200,bykaranteli.com
2026-08-06T21:00:00.000Z,BNBUSDT,buy,1000000,8.778,11600822,10047200,bykaranteli.com
2026-08-06T21:00:00.000Z,BNBUSDT,buy,5000000,39.133,11600822,10047200,bykaranteli.com
2026-08-06T21:00:00.000Z,BNBUSDT,sell,10000,0.084,11600822,10047200,bykaranteli.com
2026-08-06T21:00:00.000Z,BNBUSDT,sell,100000,0.436,11600822,10047200,bykaranteli.com
2026-08-06T21:00:00.000Z,BNBUSDT,sell,1000000,8.082,11600822,10047200,bykaranteli.com
2026-08-06T21:00:00.000Z,BNBUSDT,sell,5000000,34.076,11600822,10047200,bykaranteli.com
2026-08-06T21:00:00.000Z,BTCUSDT,buy,10000,0.008,46548102,44365557,bykaranteli.com
2026-08-06T21:00:00.000Z,BTCUSDT,buy,100000,0.008,46548102,44365557,bykaranteli.com
2026-08-06T21:00:00.000Z,BTCUSDT,buy,1000000,0.57,46548102,44365557,bykaranteli.com
2026-08-06T21:00:00.000Z,BTCUSDT,buy,5000000,2.315,46548102,44365557,bykaranteli.com
2026-08-06T21:00:00.000Z,BTCUSDT,sell,10000,0.008,46548102,44365557,bykaranteli.com
2026-08-06T21:00:00.000Z,BTCUSDT,sell,100000,0.008,46548102,44365557,bykaranteli.com
2026-08-06T21:00:00.000Z,BTCUSDT,sell,1000000,0.054,46548102,44365557,bykaranteli.com
