date,symbol,venue,mid_usd,bid_usd_2pct,ask_usd_2pct,cover_bid_pct,cover_ask_pct,levels,bids_usd_0p1pct_bins,asks_usd_0p1pct_bins,source
2026-09-03,ETH,kraken,2390.535,13386988,13755029,4.32,3.78,1000,"[2150885,2173227,3379933,1477440,1626351,177887,558435,48625,91033,74319,577191,127776,89728,1917,93280,520649,171444,11185,15527,20157,2499472,14450,131595,42007,27147,539368,14683,9783,47805,360989,15658,19758,28090,18382,13146,9088,9317,256411,14744,102460,56978,3350,93165,2912,0,0,0,0,0,0]","[2295271,1435704,3153983,1202857,738306,1096000,1040901,260543,166157,500205,40261,134055,524864,47285,500448,42396,4006,1671,68990,501124,1982441,9507,1496,25945,518340,33578,432,10353,18852,7941,96117,688,8407,10915,2271,13640,37191,2825,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,ETH,okx,2391.545,3094887,2448922,0.39,0.26,800,"[716667,1469546,586705,321970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[783852,1571029,94041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,LINK,binance,11.1055,457317,974347,5,5,8147,"[53565,64194,47766,35930,39956,35403,14745,15801,6803,44331,5248,7629,3631,6783,21816,3963,10574,564,29443,9173,25008,4417,4902,12973,4569,3136,17216,74919,82803,13513,6721,7114,8918,7852,1874,2432,23669,1070,95179,4123,2091,3170,645,4578,1997,54605,808,38104,9458,3973]","[46860,47042,52605,564149,21241,16153,17273,16953,69017,16832,12525,5462,7800,59431,5791,6519,917,4987,1705,1085,4985,3622,4904,1854,2855,2826,6869,365,3431,2168,2787,13333,2736,26424,8050,58564,3811,2031,1974,1685,3281,9316,1873,2373,19951,19556,8438,873,15787,4459]",bykaranteli-depth-snapshot
2026-09-03,LINK,bybit,11.1055,451836,427276,2.17,2.07,400,"[20598,13584,21160,8119,718,2575,168050,3305,518,62614,535,673,2572,1008,772,100392,553,455,42879,754,4171,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[5773,11627,14311,15008,15894,3640,1604,163781,57946,106469,568,3990,3648,6652,3474,540,1202,9421,570,1158,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,LINK,coinbase,11.101,829653,602254,5,5,8224,"[88419,203821,95317,60336,35991,588,60734,164440,2841,15684,879,662,585,694,1604,24522,546,15207,48932,7848,20801,1413,4752,2600,23492,4319,31939,11102,5960,4048,3412,3452,390,2143,6309,3307,5690,66358,6953,475,2331,143,3600,22127,31535,28065,19079,4401,1351,50905]","[30560,128976,19198,77313,58733,108829,39161,41561,81152,974,1220,189,598,3614,232,782,2225,3649,188,3102,39269,316,415,1182,417,477,21671,750,2671,321,866,265,137,115,7925,12842,148,938,529,1343,1360,901,3110,355,1679,680,564,5225,1686,3223]",bykaranteli-depth-snapshot
2026-09-03,LINK,kraken,11.1005,1780240,1486145,5,5,1000,"[88345,68399,87986,104233,95307,555085,196910,179507,147008,78436,60897,3939,2075,429,526,1895,1030,3851,4343,100037,1326,181,526,288,0,4052,123,4096,6658,741,775,2446,3705,40,30,4426,4626,0,356,29900,5121,133,4372,16890,2958,3670,0,63,2234,546]","[24198,116451,15761,53589,117608,15198,65235,758220,49689,88905,158998,4470,3990,285,100,8652,4482,150,121,43,253,4067,278,131,0,78,11,42,63,4014,516826,85192,111,1175,0,3769,0,273,250,4580,6,274,235,279,459,0,228,7840,923,2067]",bykaranteli-depth-snapshot
2026-09-03,LINK,okx,11.1055,387039,470724,4.17,4.07,800,"[43418,35784,77751,13329,68913,35872,6181,23037,2153,53492,2918,7404,2707,1899,3196,2027,181,620,5888,270,1015,1226,902,71992,206,1064,20557,17216,693,1248,1439,782,655,751,396,790,3331,132,1002,4035,1549,668,0,0,0,0,0,0,0,0]","[31895,39691,54001,27947,44779,12156,2492,4157,4430,1956,226922,2168,8578,1609,2415,3939,65,218,1073,233,1286,649,120,3562,1674,2594,201,105,1109,66,537,755,338,160,2953,2965,1189,6970,357,1790,108,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,LTC,binance,49.685,544822,548635,5,5,6511,"[40877,65146,89049,27806,19471,20839,31697,8248,104504,7000,2714,2667,1061,104036,5016,8865,693,509,225,4398,4509,18793,1356,27922,212,22717,126,20527,322,1105,344,1344,877,45271,160,2016,214,10029,1440,2161,318,4321,2773,7854,1247,1972,1944,143,2275,1053]","[40346,88931,35511,61038,41301,23901,37018,23228,135323,28164,3003,1271,1457,1765,4526,2477,6518,648,11846,363,1231,508,620,9322,4606,578,101909,2284,571,258,883,812,4023,498,286,914,7164,381,516,772,92546,12154,1639,3971,3156,222,13484,2229,1204,341]",bykaranteli-depth-snapshot
2026-09-03,LTC,bybit,49.685,207912,212775,4.06,4.06,400,"[16988,81660,41990,17329,10258,10126,12583,2884,1508,1054,214,1417,5668,1604,407,120,91,188,105,1717,95,252,361,1782,113,77,55,226,54,400,202,828,69,1877,259,1656,1785,444,86,71,120,0,0,0,0,0,0,0,0,0]","[6794,96016,39364,16446,14546,13732,8325,1516,4844,1471,1377,1348,951,1184,234,916,2417,461,624,206,253,387,702,401,558,113,3100,925,74,131,382,202,178,168,708,581,1384,681,172,90,76,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,LTC,coinbase,49.6625,609682,524307,5,5,5441,"[32721,76582,77627,98446,52017,34516,69033,60455,26125,10,60320,18,993,8,1,24,70,109,0,20606,9,52,1001,609,230,279,20597,439,1460,102,335,1279,179,2760,1221,294,135,424,115,101,164,129,327,481,111,114,172,152,1334,56]","[15812,86294,63657,48008,57396,67712,57900,77457,16539,2765,2454,1008,396,48,98,0,24400,172,1347,848,577,151,23,21496,4379,25,5112,8071,10,33,1106,464,168,21,14,9,14804,100,24,1994,0,124,37115,547,0,28,147,575,32,70]",bykaranteli-depth-snapshot
