date,asset,net_inflow_usd,net_assets_usd,cumulative_inflow_usd,value_traded_usd,source
2026-07-28,ETH,14529038,10496098203,11206565887,633485462,bykaranteli.com
2026-07-28,SOL,-18073396,851840092,1127372291,78764338,bykaranteli.com
2026-07-27,BTC,-11643899,78713149977,51374395878,1336108742,bykaranteli.com
2026-07-27,ETH,9231921,10646837298,11192036849,775356478,bykaranteli.com
2026-07-27,SOL,1033690,889310852,1145445687,39547101,bykaranteli.com
2026-07-24,BTC,-240084652,77822816251,51386039777,1536469216,bykaranteli.com
2026-07-24,ETH,-70617894,10166677569,11182804928,380344996,bykaranteli.com
2026-07-24,SOL,0,865420416,1144411997,46234355,bykaranteli.com
2026-07-23,BTC,-225176828,78816707403,51626124430,1628098422,bykaranteli.com
2026-07-23,ETH,26319895,10319708906,11253422822,564876880,bykaranteli.com
2026-07-23,SOL,0,885838824,1144411997,57541668,bykaranteli.com
2026-07-22,BTC,68987047,80361241201,51851301258,1112459925,bykaranteli.com
2026-07-22,ETH,72642158,10566204083,11227102927,597489119,bykaranteli.com
2026-07-22,SOL,-1272052,908738542,1144411997,54463485,bykaranteli.com
2026-07-21,BTC,203144295,80937471438,51782314211,2029820070,bykaranteli.com
2026-07-21,ETH,37471014,10478061767,11154460768,645258281,bykaranteli.com
2026-07-21,SOL,5834879,912736885,1145684049,56539154,bykaranteli.com
2026-07-20,BTC,226919373,79163282869,51579169916,1744434620,bykaranteli.com
2026-07-20,ETH,38088604,10294602912,11116989754,593295683,bykaranteli.com
2026-07-20,SOL,2639583,902684554,1139849170,77161028,bykaranteli.com
2026-07-17,BTC,132296395,77736218493,51352250543,2426461226,bykaranteli.com
2026-07-17,ETH,36726444,9966772759,11078901150,627320638,bykaranteli.com
2026-07-17,SOL,0,872038436,1137209587,49553266,bykaranteli.com
2026-07-16,BTC,79150023,77720254049,51219954148,997895799,bykaranteli.com
2026-07-16,ETH,-28041314,10099324887,11042174706,431212836,bykaranteli.com
2026-07-16,SOL,1655291,879194118,1137209587,54737987,bykaranteli.com
2026-07-15,BTC,107804554,78467912771,51140804125,1579261480,bykaranteli.com
2026-07-15,ETH,53829997,10399012593,11070216020,538411989,bykaranteli.com
2026-07-15,SOL,-707077,895156799,1135554296,58358778,bykaranteli.com
2026-07-14,BTC,181083538,77959739410,51032999572,2304431446,bykaranteli.com
2026-07-14,ETH,58338541,10091081831,11016386023,808725130,bykaranteli.com
2026-07-14,SOL,0,895441971,1136261373,59884938,bykaranteli.com
2026-07-13,BTC,-424661226,74790248921,50851916034,2059183663,bykaranteli.com
2026-07-13,ETH,-15409173,9458000807,10958047482,430913862,bykaranteli.com
2026-07-13,SOL,0,868152930,1136261373,46050214,bykaranteli.com
2026-07-10,BTC,90439970,77421550348,51276577260,1448880811,bykaranteli.com
2026-07-10,ETH,18433378,9588195173,10973456656,413495930,bykaranteli.com
2026-07-10,SOL,150521,901376027,1136261373,59500415,bykaranteli.com
2026-07-09,BTC,-95301697,76505863365,51186137290,1383911681,bykaranteli.com
2026-07-09,ETH,-52080428,9344769797,10955023277,234924300,bykaranteli.com
2026-07-09,SOL,-605109,904665342,1136110852,46307546,bykaranteli.com
2026-07-08,BTC,-84860056,75339109500,51281438986,1538994942,bykaranteli.com
2026-07-08,ETH,70477305,9339074757,11007103705,483214679,bykaranteli.com
2026-07-08,SOL,-8646787,894046071,1136715961,77920208,bykaranteli.com
2026-07-07,BTC,21435004,77259139788,51366299042,1507451107,bykaranteli.com
2026-07-07,ETH,26925212,9525922788,10936626401,388452205,bykaranteli.com
2026-07-07,SOL,1672031,949746751,1145362748,83886925,bykaranteli.com
2026-07-06,BTC,265686935,77317665367,51344864038,2527851426,bykaranteli.com
2026-07-06,ETH,20663080,9541843066,10909701189,526717596,bykaranteli.com
2026-07-06,SOL,8359770,957143979,1143690717,67507995,bykaranteli.com
2026-07-02,BTC,221719274,74369324123,51079177103,2130152175,bykaranteli.com
2026-07-02,ETH,29082177,9019904970,10889038108,669622369,bykaranteli.com
2026-07-02,SOL,2199771,936011174,1135330947,77706580,bykaranteli.com
2026-07-01,BTC,-294619482,72459753555,50857457829,2396581906,bykaranteli.com
2026-07-01,ETH,14894843,8562830284,10859955931,500312479,bykaranteli.com
2026-07-01,SOL,521069,891239854,1133131176,68055422,bykaranteli.com
2026-06-30,BTC,-222644311,70949909202,51152077311,2528522711,bykaranteli.com
2026-06-30,ETH,-27599592,8332117381,10845061088,379499945,bykaranteli.com
2026-06-30,SOL,-2497486,848034585,1132610108,69303649,bykaranteli.com
2026-06-29,BTC,-231098221,73189471574,51374721622,2132062801,bykaranteli.com
2026-06-29,ETH,-30043040,8594413887,10872660681,547380224,bykaranteli.com
2026-06-29,SOL,5523314,876366928,1135107594,75020950,bykaranteli.com
2026-06-26,BTC,-444505600,72818058131,51605819843,2538572242,bykaranteli.com
2026-06-26,ETH,-12847952,8378730749,10902703721,491713612,bykaranteli.com
2026-06-26,SOL,1989252,840882799,1129584280,66906434,bykaranteli.com
2026-06-25,BTC,-696292056,72573414831,52050325443,3500708929,bykaranteli.com
2026-06-25,ETH,-81865107,8295082332,10915551673,562690984,bykaranteli.com
2026-06-25,SOL,-3937392,755506102,1127595029,57970657,bykaranteli.com
2026-06-24,BTC,-469075418,73866992711,52746617499,3768035760,bykaranteli.com
2026-06-24,ETH,-30238213,8480534000,10997416780,688790909,bykaranteli.com
2026-06-24,SOL,0,758341180,1131532421,73848056,bykaranteli.com
2026-06-23,BTC,-113780201,77540403017,53215692917,1563286123,bykaranteli.com
2026-06-23,ETH,-82351039,8954761214,11027654993,354453677,bykaranteli.com
2026-06-23,SOL,137294,792438619,1131532421,42830033,bykaranteli.com
2026-06-22,BTC,-68175740,80217154607,53329473118,1869511910,bykaranteli.com
2026-06-22,ETH,-66035145,9436107377,11110006032,433099716,bykaranteli.com
2026-06-22,SOL,0,836086945,1131395127,39923620,bykaranteli.com
2026-06-18,BTC,-90656609,78324842892,53397648858,2399913867,bykaranteli.com
2026-06-18,ETH,-12767423,9303645008,11176041177,436394362,bykaranteli.com
2026-06-18,SOL,2989470,794006741,1131395127,38296911,bykaranteli.com
2026-06-17,BTC,-82163665,80658373012,53488305466,2060672259,bykaranteli.com
2026-06-17,ETH,-29374310,9575606398,11188808600,546086082,bykaranteli.com
2026-06-17,SOL,1061730,827880978,1128405657,54206931,bykaranteli.com
2026-06-16,BTC,10064259,82062395461,53570469131,1262571616,bykaranteli.com
2026-06-16,ETH,9587634,9888659182,11218182909,404210089,bykaranteli.com
2026-06-16,SOL,245857,845550341,1127343927,39372113,bykaranteli.com
2026-06-15,BTC,-64086226,83329430145,53560404872,2540438309,bykaranteli.com
2026-06-15,ETH,22502915,10035758586,11208595275,735978782,bykaranteli.com
2026-06-15,SOL,2808611,860670090,1127098070,62539027,bykaranteli.com
2026-06-12,BTC,85849838,79649743122,53624491098,1805449872,bykaranteli.com
2026-06-12,ETH,-4945203,9155169704,11186092360,483846556,bykaranteli.com
2026-06-12,SOL,0,764221966,1124289459,39595342,bykaranteli.com
2026-06-11,BTC,-19026464,79497876551,53538641260,2090847700,bykaranteli.com
2026-06-11,ETH,-15889359,9241951270,11191037564,639390919,bykaranteli.com
2026-06-11,SOL,-4377827,762796454,1124289459,38943305,bykaranteli.com
2026-06-10,BTC,-213849719,77331190857,53557667724,1901646280,bykaranteli.com
2026-06-10,ETH,-35593054,8963412502,11206926923,480406291,bykaranteli.com
2026-06-10,SOL,0,729148559,1128667286,55541750,bykaranteli.com
2026-06-09,BTC,-77437795,77582928717,53771517444,2597046405,bykaranteli.com
2026-06-09,ETH,-40851251,9134607583,11242519976,633554932,bykaranteli.com
2026-06-09,SOL,794270,748476537,1128667286,57997381,bykaranteli.com
2026-06-08,BTC,-91373570,79632854435,53848955238,2781655011,bykaranteli.com
2026-06-08,ETH,82371674,9358994526,11283371227,580217083,bykaranteli.com
2026-06-08,SOL,-471646,773314716,1127873017,54065411,bykaranteli.com
2026-06-05,BTC,-325694998,75115023824,53940328808,5388649581,bykaranteli.com
2026-06-05,ETH,-4828092,8591918641,11200999553,1419170862,bykaranteli.com
2026-06-05,SOL,1470602,717267532,1128344662,113839309,bykaranteli.com
2026-06-04,BTC,3046802,80398906662,54266023806,3549429993,bykaranteli.com
2026-06-04,ETH,19301869,9778436911,11205827645,605564402,bykaranteli.com
2026-06-04,SOL,-278498,791099683,1126874060,64625415,bykaranteli.com
2026-06-03,BTC,-396596502,82832422886,54262977004,2601876688,bykaranteli.com
2026-06-03,ETH,-52935965,9958953978,11186525775,636100897,bykaranteli.com
2026-06-03,SOL,-12742949,826520611,1127152558,57385318,bykaranteli.com
2026-06-02,BTC,-519190449,84996829512,54659573506,3926976133,bykaranteli.com
2026-06-02,ETH,-90148075,10529974990,11239461741,912727089,bykaranteli.com
2026-06-02,SOL,6498823,875775791,1139895508,73938645,bykaranteli.com
2026-06-01,BTC,-483760872,91160255779,55178763955,2963023284,bykaranteli.com
2026-06-01,ETH,-44438946,11140373015,11329609816,700167703,bykaranteli.com
2026-06-01,SOL,0,931561057,1133396684,47356072,bykaranteli.com
2026-05-29,BTC,-125305627,94169133253,55662524826,2210199637,bykaranteli.com
2026-05-29,ETH,-17911208,11266071559,11374048763,589026763,bykaranteli.com
2026-05-29,SOL,1316739,943572639,1133396684,32617262,bykaranteli.com
2026-05-28,BTC,-228880775,94249866634,55787830454,2355990660,bykaranteli.com
2026-05-28,ETH,-121354073,11295862777,11391959971,691336551,bykaranteli.com
2026-05-28,SOL,484369,946575377,1132079945,50322627,bykaranteli.com
2026-05-27,BTC,-733425620,96449231210,56016711229,2001180022,bykaranteli.com
2026-05-27,ETH,-67150754,11633640337,11513314043,517746645,bykaranteli.com
2026-05-27,SOL,557158,963132015,1131595576,33041684,bykaranteli.com
2026-05-26,BTC,-333710227,98396987333,56750136849,4396362433,bykaranteli.com
2026-05-26,ETH,-35038268,11789366267,11580464797,614232446,bykaranteli.com
2026-05-26,SOL,0,959057023,1131038419,32644737,bykaranteli.com
2026-05-22,BTC,-105185693,98865585921,57083847076,1768344654,bykaranteli.com
2026-05-22,ETH,-6673641,11838988413,11615503065,502443751,bykaranteli.com
2026-05-22,SOL,5935385,971338723,1131038419,32693426,bykaranteli.com
2026-05-21,BTC,-100824840,101058242753,57189032769,1583625483,bykaranteli.com
2026-05-21,ETH,-32576965,12210502132,11622176707,416160187,bykaranteli.com
2026-05-21,SOL,3856859,997409205,1125103034,51038152,bykaranteli.com
2026-05-20,BTC,-70465539,101116677921,57289857609,1363229624,bykaranteli.com
2026-05-20,ETH,-28139505,12242628302,11654753671,350402401,bykaranteli.com
2026-05-20,SOL,0,976812812,1121246175,34935806,bykaranteli.com
2026-05-19,BTC,-331045136,100286129756,57360323148,1413310275,bykaranteli.com
2026-05-19,ETH,-62296810,12142114943,11682893176,398620287,bykaranteli.com
2026-05-19,SOL,3782950,957931393,1121246175,30601320,bykaranteli.com
2026-05-18,BTC,-648640567,100485432785,57691368284,3140216542,bykaranteli.com
2026-05-18,ETH,-86306648,12203005305,11745189986,742393104,bykaranteli.com
2026-05-18,SOL,2055207,957122882,1117463225,63447791,bykaranteli.com
2026-05-15,BTC,-290418644,104288941437,58340008851,2410469801,bykaranteli.com
2026-05-15,ETH,-65649749,12929215391,11831496634,557662375,bykaranteli.com
2026-05-15,SOL,0,1009058684,1115408018,42335451,bykaranteli.com
2026-05-14,BTC,131313431,107745710109,58630427495,2763603668,bykaranteli.com
2026-05-14,ETH,-5651112,13452781440,11897146384,600912746,bykaranteli.com
2026-05-14,SOL,6506302,1050297831,1115408018,46937381,bykaranteli.com
2026-05-13,BTC,-635227765,105010045612,58499114064,1990697717,bykaranteli.com
2026-05-13,ETH,-36300696,13185532370,11902797496,515505318,bykaranteli.com
2026-05-13,SOL,5970062,1018306090,1108901715,56637562,bykaranteli.com
2026-05-12,BTC,-233251286,107312288206,59134341829,1683166059,bykaranteli.com
2026-05-12,ETH,-130620943,13392854421,11939098192,554853676,bykaranteli.com
2026-05-12,SOL,19068987,1056978282,1102931653,52599455,bykaranteli.com
2026-05-11,BTC,27286410,109083860311,59367593115,1970569767,bykaranteli.com
2026-05-11,ETH,-16886783,13850437157,12069719134,467717363,bykaranteli.com
2026-05-11,SOL,26572756,1071076311,1083862666,103970779,bykaranteli.com
2026-05-08,BTC,-145651012,106610918467,59340306705,1453038439,bykaranteli.com
2026-05-08,ETH,3574654,13731804647,12086605917,344940429,bykaranteli.com
2026-05-08,SOL,6234606,987428239,1057289911,57515712,bykaranteli.com
2026-05-07,BTC,-277497052,106765504911,59485957717,1984367978,bykaranteli.com
2026-05-07,ETH,-103515884,13595022565,12083031264,524384470,bykaranteli.com
2026-05-07,SOL,6674943,937823522,1051055305,34220737,bykaranteli.com
2026-05-06,BTC,46330553,108756353000,59763454769,2114780419,bykaranteli.com
2026-05-06,ETH,11570396,14011431591,12186547148,491750671,bykaranteli.com
2026-05-06,SOL,21301411,938237253,1044380362,60908366,bykaranteli.com
2026-05-05,BTC,467350062,108981223897,59717124216,2609044618,bykaranteli.com
2026-05-05,ETH,97572757,14153750199,12174976752,415289757,bykaranteli.com
2026-05-05,SOL,1742489,887322791,1023078951,42527756,bykaranteli.com
2026-05-04,BTC,532214927,106436249961,59249774154,3595996929,bykaranteli.com
2026-05-04,ETH,61288099,13971946600,12077403995,632363788,bykaranteli.com
2026-05-04,SOL,3277886,867245289,1021336462,36629621,bykaranteli.com
2026-05-01,BTC,629734568,103784523737,58717559227,2780137446,bykaranteli.com
2026-05-01,ETH,101183022,13602725510,12016115896,555873129,bykaranteli.com
